sentence,label,id,type
"As with any major medical treatment, the family and their doctors should use the best information to determine what is best.",9,79a762f0ab93467b8bd79d180bc1f8d4,comment
"Finally, the kids will revolt, as they can't find jobs once they graduate from university so many will start up businesses.",1,e8891e8554584fe7a442b558d7277510,comment
"Their decision seems to have helped police arrest two men for the crime, as well as connect them to another victim.",5,21808611,article
"'While an IGA helps the banks lower their costs, they still have to ask all their account holders if they are 'U.S.",1,b23ecb8320a24203bb3a20c2cb9de3dd,comment
'In [Nystrom's] view ... New Democrats have to move hard against the Grits before the impression gets cemented that our politics have returned to the old Tory-Liberal rotation.,6,8d9c8dc358c0496282086c5c6c80fc54,comment
"Lee also met with the Hong Kong press and insisted that he had left Hong Kong on his own volition, although he did not describe how he was able to evade immigration control.",8,29189957,article
")Indeed, the Chicago study found that many wives with high earnings potential adjust their lives in order to make less than their husbands do, either by dropping out of the work force or switching to part-time work.",1,12322083,article
"------------...NOPE!...my take, Liberals have taken the 'Soft on terror' cudgel out of Steeve Cons hands-with the added benefit of insulating themselves from any 'Black Swan' terrorist political event eh?",6,9d9e2b39a8e4463ba6b4ec06a9ece200,comment
Perhaps the Americans should take dynamite to Mount Rushmore: The four white men depicted there are clearly not representative of American diversity.,11,27009438,article
I'll be blunt: We don't need IS sympathizers or anyone who even remotely agrees with their beliefs here and screening against said beliefs is rational self-preservation.,8,97945eee34404ced95a6a1f345e8a2ce,comment
"Asked about the ERAP issue again this week, a spokesman for the minister said the government's advisory committee is 'examining whether we need further measures' for crude and other flammable liquids.",6,16389790,article
If the west was going to do anything at all in this region it would be to set up secure bases to monitor and address any specific threats to itself.,8,40b21e8b70024dea88deed99135e5745,comment
"Since taking power, the NDP government has often been more Stephen Harper than Justin Trudeau, curtailing reporters' access and ending press conferences when it didn't like what was being asked.",6,28775443,article
Enthusiasm and expectations for the event were low in all three capitals and the political warmth among the 'Three Amigos' is no more salubrious than the February climate that would have greeted them.,12,22485818,article
He has accomplished a lot despite opposition which seemed to reach a level of absurdity probably not see before in American politics.,6,793a14ec1b1144cd9c76c126bfc7ae51,comment
Fahmy was ultimately obliged to renounce his Egyptian citizenship (he was a dual citizen) so he could be freed under a new presidential decree allowing the deportation of foreigners convicted of a crime.,5,22771702,article
"During these hard times, during such a global economic maelstrom, when in debt... borrowing money to give away to others in not exactly the bright thing to do.",1,c1513a4ca25543339c4f05fd8516e2b9,comment
"I would love to have one of them explain to me exactly what - and I mean exactly, precisely, detail by detail - it is the Trump is going to do that is going to improve their lot life.",6,3ef3da8be3304bddbb56a8a8d70ea238,comment
"Unless the Supreme Court of Canada becomes collectively infected with dyslexia and supreme sophism, a la the US Supreme Court, I hope we can rely upon it too quickly dispose of such naked authoritarianism as simply unconstitutional.",6,c1d9d8d5917e44af8ef56e524ecbeb18,comment
at TWU rather than at another university.The LSUC is correct in observing that a married same-sex couple could not study law at TWU.,5,25311373,article
Yes we need more Chinese millionaires buying our houses and driving up their value where the rest of us can not afford them.,1,43bda023eacb48babf52d358f4030685,comment
Yet these appeals go out to all 'sides' to conform to international law......I guess Bin Laden should have been appealed to and condemned for violating international law.,5,458dc766ee92484a939ae3641b32c836,comment
"High-heeled shoes can cause arthritis, and low-heeled shoes give you plantar fasciitis, but you can't walk barefoot for fear of used syringes or athlete's foot.",9,5884541,article
"In fact, the very feelings which they adopt as a foundation of morality, because they seem to them useful to the general good, could be very harmful if abandoned to themselves.",3,5d211c90ac824554914250ab01bf30a1,comment
"On the contrary, most spoke one or both, Vietnam having been a French colony, and many having learned English during the war.",11,9a918a12cb464bdf81c2db9fcef29885,comment
"The Construction and Specialized Workers' Union and the International Union of Operating Engineers challenged that opinion in court.Given the list of factors that it was Mr. MacLean's duty to consider, his conclusion was right.",5,12140173,article
"If it was adjusted for inflation, $139,000 in 2013 would be the same as $100,000 when the Sunshine list was first created.",1,dfa67cab7e484ad89a8b875b38995ca5,comment
"Most would answer yes because it is morally repulsive, ignoring or not caring that the second part is a loaded question.",3,59294883c6e24c8a957536a39f38ea76,comment
"Vaccination can eradicate infectious diseases only if uptake is high, but the uptake in Calgary's Catholic schools is a fraction of what it is elsewhere.",9,4375582,article
"Elections are not about appeasing minority interests, elections are the Democratic process employed to ensure governments are by the people.",6,098f7829466a42c9a3103dc407bbd476,comment
Should I have some moral qualms about using the program to sidestep some very fundamental issues with our public education system?,3,fabfe74f93a7469ab63f96a2ce69eee5,comment
"If the Obama administration wants even token participation from Canada in Syria and Iraq, perhaps they should occasionally take our concerns - like Keystone - seriously.",6,183021d434f34417a88d66198d9548f3,comment
"Many doctors (possibly the majority of oncologists) now consider 5000 IU a reasonable daily dosage, and even 10,000 IU is considered a very safe dosage.",9,db2ef8a7a5bf4032baea659af3a7dd7b,comment
"Leave aside the taxpayer supported money donated to the Conservatives that will be spent, for goodness sake what about the unnecessary $50 million?",1,5c054f4dd3da4f75b57b4b168af5e00a,comment
"Since the age of onset for schizophrenia is late teens or early adulthood the illness was often misunderstood as teenage angst, a 'bad seed' or some other social disability.",9,209eafc7f8d64323bc2b0cdbd1116e17,comment
"Australian Liberal Party representatives attend Canadian Conservative conventions and observe election campaigns; Conservatives stay well briefed on what the Australian Liberals are thinking and strategizing.Today, however, the roles are reversed.",6,17139616,article
The poorest Canadians are now spending less of their income on food and clothing than at any time since everyone grew their own food and made their own clothes.,1,9839959,article
"'Do we seriously want to quarantine the six million residents of Sierra Leone (2,179 Ebola cases), 4.3 million citizens of Liberia (931 cases) and 11.8 million residents of Guinea (977 cases) based on a tiny percentage of sick people?",9,0a564504eaa74a25acf871d3fe952f49,comment
"In any event, the challenge is beyond the capacity of a single individual and will require a concerted effort by some member states.A complete revamp of personnel policies and practices should be a top priority, along with tighter accountability controls.",6,29499550,article
"Part of the answer lies in PM Harper's philosophy that the federal government should be involved in a small array of interests, one of them though being war.",6,2dd0b17695874d25825e43145272a0e7,comment
"The marijuana industry in BC is HUGE, not small, and if she believes that use of cannabis would double or triple (based on what exactly?",1,f324f3a87d1c4898bc5daa1c1373b0f2,comment
"But such a shortage isn't 'looming' at all; it's already here, especially in Western Canada, where a lack of appropriate applicants is the largest challenge facing employers.",6,550966,article
"'The family attended the bus driver's trial in Victoria more than a decade ago, expressing frustration that more serious criminal charges had not been filed.A scholarship at the University of Saskatchewan was established in Michael's name.",5,4483329,article
"Bring in a PC leader who is for less government, economic efficiency, and rational science based decisions and you will wipe the floor with the left.",6,91b9ab1e5c3c487684d5866904a0fcf8,comment
"Everyone would rather have a love-fest with Obama, who nixed Keystone and was wary of closer Canada ties, until JT arrived.",6,0c314825177343caafe3d5a1ff965e09,comment
Here anyone who has bought or owns property on the Island and is not an Island resident pays an almost double property tax.,1,1cc509005cc348d0bb43928e0750159d,comment
"In this latest case, the government has taken what was once a private member's bill and buried it in the omnibus bill.",1,21661600,article
"Something will have to give.What will give in Ontario will become clearer in 2019 (after the next provincial election), when the government has promised a 'redesigned' program.",6,29036977,article
"Rather, they work for corporations that give a proportion (sometimes a small one) of the money they collect to the charity.",1,0827046f94944540b2a0318813d939d3,comment
"honestly, telling anyone that they have to agree that they are racist or they are deemed racist is a horrendous generalization and as offensive as it gets.",4,2268190661a74180acb64686140a87ec,comment
"Whether she's fit for Cabinet on the other hand is really a question that applies to the entire, 'just not ready' Government.",6,b60c51c298d142baa676452e9821ebed,comment
"Even in a calmer market, officials rightly worry that too many homebuyers don't have a sufficient financial cushion to weather even a slight - and inevitable - rise in mortgage rates down the road.",1,13697883,article
"'It's a terrible way to raise money,' the legendary investor, who opposed casinos in his home state of Nebraska (and won), told reporters during an annual shareholders meeting.",1,11017537,article
"One thing that the accumulated interviews I have done with gangsters suggests to me is that organized criminality and violence tend to flourish where state institutions are weak, absent or corrupted.",5,28155802,article
"Turn back the clock to just around the time of the 'British invasion'Anyone serious in society was 40+, all the romance movies had veritable geezers like Cary Grant as the lead.",11,07beb864b7f94cffadedc01e8e812818,comment
A brand new gravy train will be rolling across the country soon to provide work for all those unemployed T&R hangers-on.,6,e742add5f79e4990a9659795f20d6191,comment
"And contrary to the Flemish, the Catalans and the Basques, the Scots speak an international language - they had no reason to fear cultural isolation.So if Scotland's nationalists couldn't win, who could?",11,20743702,article
"In a recent television interview, the Lady reinforced that idea, boldly stating: 'I will make all the decisions because I'm the leader of the winning party.'",6,27257916,article
"One night, I was standing guard at the corner of Obispo and Oficios when a supposedly U.S. military plane flew over Havana.",15,4625408,article
All this suicidal political malarkey just to be able to indict your opponents of being this or that new taboo word in a dictionary!,6,10f4f8b389d645fcac93b3af3ca1bd64,comment
"Overall, it's hard to escape the conclusion that the Conservatives are trying to run the government with their own interests front and centre, rather than those of the country.",6,378d79f60bd0421daae46caab28b3bba,comment
U.S. President Barack Obama has his hands full trying to find common ground with the new Republican control of Congress.,6,22485818,article
"The fallout is plain to see.In Alberta last week, a judge stayed a first-degree murder charge because it had taken more than five years to come to trial.",5,32401037,article
I don't know what's wrong with this industry that they say they can't make money but maybe a little competition will help them with some introspection.,1,203fdf9dc9204df69ea170d3c1ebdbb2,comment
Need information on people - look at health coverage data from provincial health departments - it will tell you how many males over 90 reside in tiny town Alberta.,9,773fd8493249429ab2704d778e9f28a7,comment
"There is lots of legislation that I don't like either, some coming from governments that I deeply dislike, such as the current one in Ottawa.",5,4106827,article
"The right to self-preservation is at the heart of an Ontario Court of Appeal ruling on Monday striking down the Criminal Code ban on brothels, and rewriting the anti-pimping law to allow prostitutes to hire bodyguards.",5,4096033,article
"Hundreds of thousands died; Armenians, Turks, Russians and Kurds, mostly of starvation and cold including most of the Ottoman soldiers who deployed.",8,e3ec3eb319264a49be7ff5f0d05fbada,comment
"And so as the last 33 days of 2016 lie before us, what will the final count of Canadians choosing Cuba as a vacation destination be...1.2 million?",15,727095_0,comment
Those who believe that the only thing that matters is money or status will kill off anything they can for their own profit.,1,724a77a5166942689239cbafe6707f2b,comment
"Short-term focus compels us to buy the least expensive of everything, regardless of the conditions in which it was made, the impact on the economy and the impact on the livelihood of our neighbours.",1,a497525347f143fba740444d17d2c616,comment
He was simply saying that when the state steps in to control what individuals can or cannot look at we are getting into complex issues that can impinge on a whole range of individual freedoms.,4,bd82afcd99ef439aad4c040ae70eba77,comment
"Or is it the most evil fruit since Adam and Eve?If you are against genetically modified foods, the answer is 'evil,' of course.",3,23701486,article
"I read where it cost TO over $175 million to install bike lanes but bicycles, roller-bladers, e-bikers and so on use the bike lanes 'for free'.Why not charge for a bicycle license and require them to carry insurance?",1,30814b94a3c443dfb205558eaac1f49d,comment
"'Partisanship aside, I think most neutral observers will agree it's a good thing that Ms. Smith lost her nomination bid.",6,23678412,article
"Nothing against carbon taxes, as long as they are offset by equal dollar cuts in other taxes - GST or income taxes.",1,d277178cccb94f2f9568f8a9d8593890,comment
A new paper by the chief actuary at pension consultants Morneau Shepell argues that Canada isn't facing a retirement crisis after all.,6,12445335,article
"To be able to make a good living artistically under these market conditions, you need some way to take economic 'rents' -- unionization, fame, co-marketing, external funding, etc.",1,cbe81be948c64d1f9188540034b30905,comment
"Finally, if the 'Responsibility to Protect' is so sacred, then we have the moral responsibility to replace numerous regimes throughout Africa, the Middle East, Central and South America, Asia and, perhaps, even that our closest neighbour.",3,e131280fdcdf4d4d84b24d43c50c9e01,comment
"But ask the average American what they think of when you say 'Memorial Day', and they will answer 'the first BBQ of the year' or 'the Indiannapolis 500'.",12,c27e21c61bb84c998068cde1afbadc6d,comment
Why do we continue to send our raw materials to Asia and allow them to create the higher value refining jobs.,1,080279_0,comment
They likely assumed in return that they would be protected and defended by the party that put them in the Senate for that purpose.,6,15142837,article
"If anyone was masochistic enough to read opposition platforms, they would find them stuffed with bromides and promises that are ditched or modified once they crash into reality.",6,4512773,article
Because all the boomers who lost their savings in 2008 won't retire until they dig theirselves out of the hole.,1,8046120e3dd04d1fa10fb7050130d68f,comment
"Combining these ads with the party's own messages means that the Conservatives will continue to conduct the 'permanent campaign' at your expense, but for their purposes.",6,17357485,article
"Tory's successful sales pitch was built of two elements: a promise to be everything Rob Ford was not - conciliator, bridge-builder, planner, thinker - and a pledge to get things moving on public transit, the city's most urgent file.",6,21332541,article
The common thread running through them are policy makers who weren't afraid of going back to the drawing board when the existing system wasn't working.Back to Mr. Schleicher.,6,16274423,article
We have become the same and for that reason we are unlikely to burn someone alive because of an argument on the Trinity.,3,790a753bb9004675aea09dcbb7d9a018,comment
The Liberals conspired with the press and special interest groups to make sure that the gun control act was passed.,6,f727db25629149f1ac2aafb4a71ecd38,comment
"In three national polls conducted during the mission-extension debate, a majority of Canadians (as many as 74 per cent) supported the air campaign and its extension.",12,26020439,article
"Such resorts are inherently inward-looking, and the benefits will be concentrated.Some people argue that a major casino in Toronto would have dynamic effects for the city's economy.",1,11712162,article
"So strange, Liberal governments in QC and now here in BC are all just not liberal but right wing lunatics only caring about profits and treating people like they are simply widgets.",6,d48e6c9814fb4e5f8e3cf1751fec74fe,comment
"Bill C-51 was prototypical big-government nastiness, approaching the behavoiur of dictatorships/Communist states, so why did the Conservatives pass it (with Justin's support)?",6,bd893ec83a6a4dc3b3c4af82ea073ba9,comment
"'Unlike many of Mr. Obama's initiatives, this one reflects bipartisan congressional support for similar proposed legislation being cobbled together in the Senate.",6,13697883,article
"She is on Twitter @Balkissoon.On Monday, the second of three young men accused of distributing child pornography began his trial in a Halifax court.",5,21808611,article
Statistics are no longer kept but simple observation shows the majority of violent crimes committed by people who came from violent countries.,12,34fe3e292b6e4d5c8a551d6cda695408,comment
"The Canadian economy continues to grow, yet its international aid budget is tightened, at a time of rising global hunger and many people slipping further below the poverty line.",1,4618914,article
But the balance of the evidence goes to show that gaming establishments do not have any especially stimulative economic effects.There will be construction jobs.,1,11712162,article
"They all add up to one thing: INCREASED GOVT REVENUES, revenues I submit, that improve the lives of people all over the province.",1,5ecf33d38f844215983c601de323cbae,comment
"Syria?Under Mr. Mulcair, the NDP repositioned itself toward the centre, a wise move, considering its reputation as a big-spender party filled with radicals of various stripes.",6,26691544,article
The recent demonstrations for a change in governance were permitted by the authorities- and this is all well and good.,6,122fa12a98a74a59b40d4c4c5cb98b03,comment
Mirvish has shown his sensitivity to such questions and Mr. Gehry has a track record that merits the benefit of the doubt.,5,16124595,article
How often are we told of the horrible birth defects and cancers plaguing Iraqis and Afghanis due to the 1000 metric tonnes of radioactive waste left in each of those countries?,9,209677_0,comment
I am perplexed how the public (which has a very valid interest in all of this) can allow this to happen.,12,af609483508b4bde91312da262d511de,comment
"God (oh my bad, she hates God and religion and has no respect for anyones beliefs) help you if you disagree with her opinion or present YOUR own point of view.",3,25b6852aca9b4df4aac3a5d12b1fd7fe,comment
"'In a typical election year, foreign policy is a strong point for the Republican Party and the Republican candidate,' noted University of Akron political science professor David Cohen.",6,4092110,article
"Again, after the Second World War, Japan underwent another basic shift under U.S. occupation.Both events demonstrated the incredible cohesiveness of Japanese society, a cohesiveness that underlies the ability to undergo revolutionary change without total social upheaval.",11,546976,article
"In British Columbia, a former RCMP communications officer, Tim Shields, has been charged with the alleged sexual assault of a civilian employee of the force while he was still an officer.",5,30099772,article
Your the guy who said we have to put a price on everything so the corporate world can buy and control everything.,1,10ef1af0549d4028bf33b58fcdb45c55,comment
Only the men in sandals with beards will writhe in moral confusion and the rest of us would applaude the ritual swatting of an irritant.,3,f6cee185bf364c37948c0ec5fddf0ebe,comment
"That is left to India's minuscule elite of academics and intellectuals.Over the years, it has gradually emerged that India's middle class is different in another way: its size.",11,30400732,article
"This is where the public interest now takes shape, not through evidence-based policy advice.Governing from the centre first took shape under Pierre Trudeau.",6,25954098,article
"'Discussion has turned to bringing the tabled text from the conference - with a few widely supported improvements - to the UN General Assembly later this year, where it can pass with a majority vote of member states.",6,4452793,article
"The space can be booked for as little as 30 minutes at a cost of up to $2 an hour, billed to the motorist's credit card.",1,25974511,article
"'Baby' seems appropriate for many of this generation, too many of which can't shake the idealization of youth culture (e.g.",11,bf78bea599ed4f4f8313ea4d24098d99,comment
Another issue we face is having to surrender our passports for 3 or more weeks while waiting for new passports.,6,ee2757dbf0a2470aae439b70e167e401,comment
"As both citizens and consumers, Canadians do want to see themselves reflected in the books and magazines they read, the TV they watch and the music they hear.",11,4401524,article
"Court documents show Clark and Mark Marissen admitted in the course of legal discussions that Clark did hit the car, but disputed the injuries of the plaintiff among other items.",5,eeb2982464a2418598a188021c16b02f,comment
Your argument against the Liberals would be confirmed only if they supply more arms to Saudi Arabia (and jeeps aren't exactly arms).,8,766581651eab4fbf860eba5bc7928658,comment
"'The six men accused of the bus attack have been arrested and charged with murder, and the government has ordered an inquiry into how rape cases are handled.",5,6814566,article
Do you ever get the unsettling impression that there?s a junior varsity team in the White House?.........................................................................................................................The Democrats and the voters forgot to check Obama's credentials.,6,f5b9a997b53842bdadfaabc7cb26364b,comment
"But Amb Heinbecker gives away the game with his moral relativism and, paradoxically, his immorality of unrealism in point 7.",3,81504f5212304918b020bbf28ec19097,comment
I'll agree that computers are shrinking the work force but that's all the more reason to become more stringent and crack down on off-shore outsourcing of jobs.,6,952fcf52a7ce401b9a5326a0f9053f7d,comment
"The San Bernardino couple's arsenal of guns and ammo was, as a writer for The Nation put it, 'as American as apple pie.'",11,27637057,article
"A per-capita debt of $20,000, with interest payments making up the largest item in the city's budget, is not sustainable even with help from the state and federal governments (and that help is not forthcoming).",1,216b94e8c60b4953893e32e3ed11edae,comment
There was high drama in The Hague and in the Democratic Republic of the Congo on Wednesday as the judges of the International Criminal Court prepared to release the tribunal's historic first judgment.,5,533846,article
"Also troubling is the fact that many of these ADHD diagnoses seem to be highly subjective in nature, as the article points out.",9,800121fb31d2438d80af6b47b0cc2368,comment
Harper accused Trudeau of 'living in a dream world' when JT said that he'd cancel the F35 if the Liberals formed the next government.,6,be63a61dc2c5409993bcbea1fbc95d30,comment
"...'If I were a young black man imprisoned in South Africa,' he added, 'I would support those who supported me.",4,548188,article
"The U.S. Department of Justice may be considering the possibility of a federal civil-rights prosecution, but this is not a promising route.",6,13261574,article
Over the last 15 years tax cuts have reduced federal revenues by over four per cent of gdp or $75 billion.,1,6338fcd0947f4362b7d960e00b48ca80,comment
"Sure, the Kenya situation is regrettable, but no more so than the US' refusal to attorn to the jurisdiction of the court.",5,f3b2fbad49a54fedbcda259d73e14657,comment
"You can say virtually anything about an age cohort that spans 18 years, particularly if you start with the assumption that all people in that cohort are almost exactly alike.",15,12fe9627b7104c43b24bc359125e4fcb,comment
You just have to be able to move out of moms basement and try those over educated wings you have.,15,6fa556c50f1b42dc9c92b31fe08c847c,comment
"If products are approved by Health Canada and the people 'prescribing' them are regulated by the province, the public can be forgiven for thinking homeopaths are as legitimate as physicians who prescribe prescription drugs.",9,23701139,article
The issue with the most recent ebola outbreak was a failure to respond early enough and with enough resources to get it under control quickly.,9,75a59e77365340a0b8fda7ce4bf6d85f,comment
"Given that landlords require an income of about three times the rental amount in order to accept tenants, single people who earn less than 50K annually are essentially shut out of the rental market unless they choose to share accommodation.",1,aab7e6c1be3b413db45ddca53f13ebaa,comment
"The only thing I could add is that when the day finally approaches, something comes up and the whole charade starts all over!...Usually the third attempt is successful!",15,aa0b35cf722d4e6eab610908d6e7b94f,comment
"It is always astonishing to me when those who feel they or their 'group' has been oppressed (in this case, Francophones having been oppressed by Anglophones) have no problem opprressing others.",4,605f728ce9f449b59f23ba9fca6d04e5,comment
It's not an easy case - not if you're concerned with getting Fahmy out of an Egyptian jail and home.,5,138d6a443d304f218f260051bfd50b64,comment
"legislature in 2013, the RCMP warned us of possible drone terrorist attacks in 2014, we had a terrorist running loose in Parliament Hill in 2014, and we lost two soldiers to terrorism on our soil in 2014.",8,7f2be05d831d476c847accce62a76aba,comment
"The guys running the PMO came directly from the McGuinty/Wynne administration, is it any surprise that Trudeau and company are travelling the same road.",6,088030_0,comment
"You need qualified applicants, and those applicants in turn, need to be experienced lawyers and WANT to be a judge.",5,7955c737f6054ab783a6b20687a17f90,comment
"I want to end discrimination against the girls currently living with parents who had them reluctantly, and to make sure that women have options if they're abused for not producing boys.",4,29636826,article
And that is going to be central to any solution requiring more action than talk - particularly in an election year.,6,a1fb122fa5a14a42824236369dc077ce,comment
"The security and environmental ramifications of this will involve Canada, of course, but the other nations of the world as well.",8,004ab419a092459b8f7588688308c457,comment
"The focus will be on his accomplishments.While some Conservatives complain that Mr. Harper hasn't been conservative enough, most appreciate how far he has moved the dial.",6,15122161,article
"RICK SALUTINSpecial to The Globe and MailPublished Friday, Sep. 17 2010, 5:00 AM EDTLast updated Thursday, Sep. 06 2012, 3:59 PM EDT",15,5a701783df294fd3a1b8b97c4e5cd14c,comment
Our vet gets it when told we are prepared to spend to make the hounds last years comfortable but not prepared to spend heavily on extraordinary measures which may only prolong suffering.,9,29b886b9be684e50b4a7e5c29769e6b6,comment
The premature pulling out of US troops from Iraq and Afghanistan have enabled the ISIS to take control of some large areas in Iraq and the Islamic State?s tentacles spreading into Afghanistan.,8,a90f231fbabc4359a15fcda60f2201ac,comment
"Canadian history is strangely silent on his slave ownership, while Rutland history generally characterizes him as the owner of several African slaves.",4,cabe750478a34a5990373e6b2cff2172,comment
"Look no further than Obama and how his lack of experience in anything but Politics has created a domestic mess, foreign affairs mess, credibility question.",6,ca2808aa34224c1c97474f387e42841f,comment
"But we still need more access to psychiatry for those people who really need it, and easier affordable access to talk therapy for those for whom psychiatry is unnecessary.",9,5cf6dde24f39437c945dc5df513de451,comment
Tasleem Thawar is executive director of PEN Canada.The injustice facing one man in Saudi Arabia has brought into focus the harrowing human-rights reality that Canada routinely overlooks in its relationship with the kingdom.,4,22565261,article
It's funny that we now look back wistfully on a time only three or four decades ago when it was believed the 'mixed market' economy could provide decent living standards and public services for all.,1,b6a5e88037024148a95ad2e1c82ecf4f,comment
"Nobody is 'equal' to anybody, and to belabour this topic without addressing fundamental structural causes is an exercise in politically correct futility.",4,41e04a8af5634098b09e735ef5128557,comment
Likewise Faceborg and Twitter routinely delete posts even mentioning the national origin of the perpetrators and people have been hauled into court for posting such information.,5,8e8dbdd79f57488e8345678407fc0c53,comment
"It has NOTHING to do with racism, ageism, ableism, or any other 'ism.When you taint the term you lose clarity and purpose.",4,2991cbf06b8b440284e59ee957a56b7f,comment
These polls showing a rejection to secession have been coming out regularly for years yet the press doesn?t consider them newsworthy.,12,730c317794d046b18143942f555efe1a,comment
"A recent Marketplace episode (Feb 26) talked about racist bias, but it could and did talk about gender bias as well.",4,fc77d404cdbc44daacf8b405db750e61,comment
"He was given a 6 months definite, 3 months indefinite term and ended up serving all 9 months because he was involved in a few altercations while in person.",5,b49ec902e8bb4c46aaf71dc3f61e3ebc,comment
We are escalating to war based on a single or at most a few boastful bellicose threatening comments about Canada and Canadians by a hooded figure supposedly representing ISIL.,8,a4657864260a470c981f6787d0491774,comment
"Any political party that believes this crowd is wanting a reasonable debate during an election is dreaming, Harper has invented a new form of corruption - only CONS are the chosen.",6,abc225e38f8f421fbc5ec43cd36ae2af,comment
From the Boston Globe editorial:'This is a threat that can't be contained through fences or wars even though new security efforts should be pursued.,8,44987d1dc537447db03d4f1a102ad7af,comment
"In fact a lot of refugee claimants have been in gangs, have killed people or are involved in the drug trade.",5,bed8ec048ad243f8b1334b7da633eded,comment
In fact religion has developed this need for protection simply because it is so weak on it?s face that it needs it.,15,01f22c587d6e4598a2307331469e5b4d,comment
"If he sues CBC in civil court, there may be any number of women willing to get up in court and tell the gory details, blow by blow, so to speak.",5,7edddfb505664fbea5184abbce82f80a,comment
Remarkable in light of the fact that 1:Crime rates are dropping 2: the US states have commenced reversing their 3 strikes dogma.,5,6a61e461b04c41d3b17f40cf60ec526b,comment
"The real drugs that can save lives, on the other hand, are sat on the sideline with unyielding position by the health bureaucracy.",9,9641041391c941438e1bbfff8f6fffb7,comment
"It is no surprise that the poll found most Gazans, at least back in June, were eager to see the end of Hamas rule.",12,19717749,article
"Dr Ben Levine, former prof at OISE, former deputy minister of education for Wynne is still suspected and charged with multiple child sex crimes.",5,1a6ee6dca94d4a51b2fca606bbb5dafa,comment
The media ...especially TV ..needs to rethink how and when it releases its Anderson Coopers into a world that really deserves better.,15,3d27c31a8e2b4378a905a64989ae93c5,comment
"The only reason we don't do this is because it upsets the current religious insistence that this would be communist, and therefore bad.",15,56fc95909d494129a17427a4d8a343a8,comment
The number of people involved in the Trump protests/riots is relatively small but if you read the left wing media reports they make it sound like every other American is participating in this childish behaviour.,6,bf25d4da6c874261b4aea4b9089b6f51,comment
"What's going on in Afghanistan, Iraq, and Syria is a military stalemate as our Sepoys are doing a horrible job fighting the extremists.",8,af25e304ffc24b74b4cbc9eeaa902140,comment
"Government inaction is proving him right.Since that time, I learned authorities in Iran detained the fugitive on Canada's Interpol Red Notice.",5,31403214,article
"An objecting physician should not have to as the CMA obliges, refer the patient to a doctor who will perform PAD.",9,e85ee613e4eb4f3faf50ebe92cd4be70,comment
